id	window	forward_repeat_number	reverse_repeat_number
chr1	0	29	0
chr1	10000	50	1
chr1	20000	43	1
chr1	30000	28	0
chr1	40000	69	0
chr1	50000	0	0
chr1	60000	0	0
chr1	70000	0	0
chr1	80000	0	0
chr1	90000	0	0
chr1	100000	0	0
chr1	110000	0	0
chr1	120000	0	0
chr1	130000	0	0
chr1	140000	0	0
chr1	150000	0	0
chr1	160000	0	0
chr1	170000	0	0
chr1	180000	0	0
chr1	190000	0	0
chr1	200000	0	0
chr1	210000	0	0
chr1	220000	0	0
chr1	230000	0	0
chr1	240000	0	0
chr1	250000	0	0
chr1	260000	0	0
chr1	270000	0	0
chr1	280000	0	0
chr1	290000	0	0
chr1	300000	0	0
chr1	310000	0	0
chr1	320000	0	0
chr1	330000	0	0
chr1	340000	0	0
chr1	350000	0	0
chr1	360000	0	0
chr1	370000	0	0
chr1	380000	0	0
chr1	390000	0	0
chr1	400000	0	0
chr1	410000	0	0
chr1	420000	0	0
chr1	430000	0	0
chr1	440000	0	0
chr1	450000	0	0
chr1	460000	0	0
chr1	470000	0	0
chr1	480000	0	0
chr1	490000	0	0
chr1	500000	0	0
chr1	510000	0	0
chr1	520000	0	0
chr1	530000	0	0
chr1	540000	0	0
chr1	550000	0	0
chr1	560000	0	0
chr1	570000	0	0
chr1	580000	0	0
chr1	590000	0	0
chr1	600000	0	0
chr1	610000	0	0
chr1	620000	0	0
chr1	630000	0	0
chr1	640000	0	0
chr1	650000	0	0
chr1	660000	0	0
chr1	670000	0	0
chr1	680000	0	0
chr1	690000	0	0
chr1	700000	0	0
chr1	710000	0	0
chr1	720000	0	0
chr1	730000	0	0
chr1	740000	0	0
chr1	750000	0	0
chr1	760000	0	0
chr1	770000	0	0
chr1	780000	0	0
chr1	790000	0	0
chr1	800000	0	0
chr1	810000	0	0
chr1	820000	0	0
chr1	830000	0	0
chr1	840000	0	0
chr1	850000	0	0
chr1	860000	0	0
chr1	870000	0	0
chr1	880000	0	0
chr1	890000	0	0
chr1	900000	0	0
chr1	910000	0	0
chr1	920000	0	0
chr1	930000	0	0
chr1	940000	0	0
chr1	950000	0	0
chr1	960000	0	0
chr1	970000	0	0
chr1	980000	0	0
chr1	990000	0	0
chr1	1000000	0	0
chr1	1010000	0	0
chr1	1020000	0	0
chr1	1030000	0	0
chr1	1040000	0	0
chr1	1050000	0	0
chr1	1060000	0	0
chr1	1070000	0	0
chr1	1080000	0	0
chr1	1090000	0	0
chr1	1100000	0	0
chr1	1110000	0	0
chr1	1120000	0	0
chr1	1130000	0	0
chr1	1140000	0	0
chr1	1150000	0	0
chr1	1160000	0	0
chr1	1170000	0	0
chr1	1180000	0	0
chr1	1190000	0	0
chr1	1200000	0	0
chr1	1210000	0	0
chr1	1220000	0	0
chr1	1230000	0	0
chr1	1240000	0	0
chr1	1250000	0	0
chr1	1260000	0	0
chr1	1270000	0	0
chr1	1280000	0	0
chr1	1290000	0	0
chr1	1300000	0	0
chr1	1310000	0	0
chr1	1320000	0	0
chr1	1330000	0	0
chr1	1340000	0	0
chr1	1350000	0	0
chr1	1360000	0	0
chr1	1370000	0	0
chr1	1380000	0	0
chr1	1390000	0	0
chr1	1400000	0	0
chr1	1410000	0	0
chr1	1420000	0	0
chr1	1430000	0	0
chr1	1440000	0	0
chr1	1450000	0	0
chr1	1460000	0	0
chr1	1470000	0	0
chr1	1480000	0	0
chr1	1490000	0	0
chr1	1500000	0	0
chr1	1510000	0	0
chr1	1520000	0	0
chr1	1530000	0	0
chr1	1540000	0	0
chr1	1550000	0	0
chr1	1560000	0	0
chr1	1570000	0	0
chr1	1580000	0	0
chr1	1590000	0	0
chr1	1600000	0	0
chr1	1610000	0	0
chr1	1620000	0	0
chr1	1630000	0	0
chr1	1640000	0	0
chr1	1650000	0	0
chr1	1660000	0	0
chr1	1670000	0	0
chr1	1680000	0	0
chr1	1690000	0	0
chr1	1700000	0	0
chr1	1710000	0	0
chr1	1720000	0	0
chr1	1730000	0	0
chr1	1740000	0	0
chr1	1750000	0	0
chr1	1760000	0	0
chr1	1770000	0	0
chr1	1780000	0	0
chr1	1790000	0	0
chr1	1800000	0	0
chr1	1810000	0	0
chr1	1820000	0	0
chr1	1830000	0	0
chr1	1840000	0	0
chr1	1850000	0	0
chr1	1860000	0	0
chr1	1870000	0	0
chr1	1880000	0	0
chr1	1890000	0	0
chr1	1900000	0	0
chr1	1910000	0	0
chr1	1920000	0	0
chr1	1930000	0	0
chr1	1940000	0	0
chr1	1950000	0	0
chr1	1960000	0	0
chr1	1970000	0	0
chr1	1980000	0	0
chr1	1990000	0	0
chr1	2000000	0	0
chr1	2010000	0	0
chr1	2020000	0	0
chr1	2030000	0	0
chr1	2040000	0	0
chr1	2050000	0	0
chr1	2060000	0	0
chr1	2070000	0	0
chr1	2080000	0	0
